id,first_match,second_match,note
805_r,0,0,0
806_r,1,0,10
807_l,1,2,19
808_l,1,2,19
809_l,1,4,17
810_c,1,2,19
811_c,1,2,19
812_r,2,0,9
813_c,1,2,19
814_c,1,0,10
815_c,1,2,19
816_c,0,0,0
817_l,1,7,14
818_c,1,2,19
819_r,4,0,7
820_c,1,0,10
821_l,1,2,19
822_r,2,0,9
823_r,0,0,0
824_c,1,8,13
825_l,1,0,10
826_r,1,0,10
827_r,4,0,7
828_r,1,7,14
829_r,4,0,7
830_l,4,0,7
831_r,8,0,3
832_c,1,2,19
833_c,1,5,16
834_l,1,0,10
835_c,4,0,7
836_l,5,0,6
837_l,1,2,19
838_c,1,2,19
839_l,0,0,0
840_r,1,9,12
841_l,1,2,19
842_r,1,2,19
843_l,3,0,8
844_l,5,0,6
845_l,1,3,18
846_c,1,2,19
847_l,1,3,18
848_c,1,5,16
849_c,0,0,0
850_l,1,2,19
851_c,1,2,19
852_c,1,2,19
853_c,1,0,10
854_r,1,0,10
855_l,2,5,15
856_c,1,2,19
857_r,1,0,10
858_r,1,0,10
859_c,1,5,16
860_l,1,3,18
861_l,3,8,11
862_c,1,2,19
863_r,1,2,19
864_l,1,2,19
865_c,1,0,10
866_c,2,9,11
867_l,10,0,1
868_l,1,0,10
869_r,4,0,7
870_l,0,0,0
871_r,1,10,11
872_r,9,0,2
873_r,1,0,10
874_r,1,2,19
875_r,1,3,18
876_c,4,0,7
877_r,1,0,10
878_r,7,0,4
879_l,1,0,10
880_c,1,6,15
881_c,1,2,19
882_l,5,6,11
883_l,1,0,10
884_c,1,2,19
885_c,1,8,13
886_r,1,0,10
887_l,1,2,19
888_c,2,0,9
889_r,1,0,10
890_l,1,0,10
891_c,1,2,19
892_r,0,0,0
893_r,8,0,3
894_l,0,0,0
895_r,0,0,0
896_r,3,0,8
897_l,1,2,19
898_l,0,0,0
899_l,1,2,19
900_l,3,0,8
901_l,0,0,0
902_r,6,0,5
903_r,1,2,19
904_c,0,0,0
905_c,1,4,17
906_c,1,2,19
907_l,1,2,19
908_c,1,2,19
909_r,3,0,8
910_l,3,6,13
911_l,1,2,19
912_l,1,0,10
913_r,1,2,19
914_r,8,0,3
915_l,1,2,19
916_l,1,6,15
917_l,9,0,2
918_r,0,0,0
919_r,5,0,6
920_r,0,0,0
921_l,1,0,10
922_l,0,0,0
923_r,2,0,9
924_r,3,0,8
925_r,1,2,19
926_l,3,0,8
927_r,0,0,0
928_r,0,0,0
929_l,1,2,19
930_r,3,0,8
931_c,7,0,4
932_c,1,2,19
933_l,1,0,10
934_l,1,0,10
935_l,0,0,0
936_c,1,5,16
937_r,5,0,6
938_l,1,2,19
939_r,1,2,19
940_c,1,2,19
941_c,1,2,19
942_r,2,10,10
943_l,2,3,17
944_l,1,0,10
945_r,3,0,8
946_r,2,9,11
947_l,0,0,0
948_c,1,0,10
949_l,6,0,5
950_r,1,0,10
951_r,2,9,11
952_r,5,10,7
953_c,2,4,16
954_l,1,0,10
955_r,1,2,19
956_r,2,4,16
957_r,1,10,11
